UID          PID    PPID  C STIME TTY          TIME CMD
root         595       1  0 10:09 ?        00:00:00 /usr/sbin/cups-browsed
root         613       1  0 10:09 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         623       1  0 10:09 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
whoopsie     647       1  0 10:09 ?        00:00:00 /usr/bin/whoopsie -f
root         648       2  0 10:09 ?        00:00:00 [kworker/0:5-events]
kernoops     654       1  0 10:09 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     656       1  0 10:09 ?        00:00:00 /usr/sbin/kerneloops
root         853       1  0 10:09 ?        00:00:00 /usr/sbin/gdm3
root         862       1  0 10:09 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         871     853  0 10:09 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
daniels+     876       1  0 10:09 ?        00:00:00 /lib/systemd/systemd --user
daniels+     877     876  0 10:09 ?        00:00:00 (sd-pam)
daniels+     882     876  0 10:09 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
daniels+     885     876  0 10:09 ?        00:00:00 /usr/libexec/tracker-miner-fs
daniels+     887       1  0 10:09 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
daniels+     891     871  0 10:09 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
daniels+     893     891  0 10:09 tty2     00:00:03 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
daniels+     895     876  0 10:09 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
daniels+     899     876  0 10:09 ?        00:00:00 /usr/libexec/gvfsd
rtkit        903       1  0 10:09 ?        00:00:00 /usr/libexec/rtkit-daemon
daniels+     907     876  0 10:09 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
daniels+     910     876  0 10:09 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
daniels+     933     876  0 10:09 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
daniels+     937     876  0 10:09 ?        00:00:00 /usr/libexec/goa-daemon
daniels+     952     876  0 10:09 ?        00:00:00 /usr/libexec/goa-identity-service
daniels+     954     876  0 10:09 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
daniels+     960     876  0 10:09 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
daniels+     964     876  0 10:09 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
root         971       1  0 10:09 ?        00:00:00 /usr/lib/upower/upowerd
daniels+     985     891  0 10:09 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
daniels+    1065       1  0 10:09 ?        00:00:00 /usr/bin/VBoxClient --clipboard
daniels+    1066    1065  0 10:09 ?        00:00:00 /usr/bin/VBoxClient --clipboard
daniels+    1077       1  0 10:09 ?        00:00:00 /usr/bin/VBoxClient --seamless
daniels+    1078    1077  0 10:09 ?        00:00:00 /usr/bin/VBoxClient --seamless
daniels+    1084       1  0 10:09 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
daniels+    1085    1084  0 10:09 ?        00:00:01 /usr/bin/VBoxClient --draganddrop
daniels+    1092       1  0 10:09 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
daniels+    1093    1092  0 10:09 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
daniels+    1099     985  0 10:09 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
daniels+    1123     876  0 10:09 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
daniels+    1129    1123  0 10:09 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
daniels+    1142     876  0 10:09 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
daniels+    1148     876  0 10:09 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
daniels+    1163     876  2 10:09 ?        00:00:08 /usr/bin/gnome-shell
daniels+    1186    1163  0 10:09 ?        00:00:00 ibus-daemon --panel disable --xim
daniels+    1190    1186  0 10:09 ?        00:00:00 /usr/libexec/ibus-dconf
daniels+    1191    1186  0 10:09 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
daniels+    1195     876  0 10:09 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
daniels+    1198     876  0 10:09 ?        00:00:00 /usr/libexec/ibus-portal
daniels+    1209     876  0 10:09 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
daniels+    1213     876  0 10:09 ?        00:00:00 /usr/libexec/xdg-permission-store
daniels+    1218     876  0 10:09 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
daniels+    1224     876  0 10:09 ?        00:00:00 /usr/libexec/evolution-source-registry
daniels+    1234     876  0 10:09 ?        00:00:00 /usr/libexec/evolution-calendar-factory
daniels+    1242     876  0 10:09 ?        00:00:00 /usr/libexec/dconf-service
daniels+    1247     876  0 10:09 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        1265       1  0 10:09 ?        00:00:01 /usr/lib/packagekit/packagekitd
daniels+    1275     899  0 10:09 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
daniels+    1276     876  0 10:09 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
daniels+    1291     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-a11y-settings
daniels+    1293     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-color
daniels+    1295     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-datetime
daniels+    1297     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-housekeeping
daniels+    1298     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-keyboard
daniels+    1301     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-media-keys
daniels+    1306     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-power
daniels+    1307     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-print-notifications
daniels+    1312     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-rfkill
daniels+    1314     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
daniels+    1318     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-sharing
daniels+    1329     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-smartcard
daniels+    1331     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-sound
daniels+    1334     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-usb-protection
daniels+    1335    1148  0 10:09 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
daniels+    1340     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-wacom
daniels+    1344     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-wwan
daniels+    1346     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-xsettings
daniels+    1354    1148  0 10:09 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
daniels+    1387     876  0 10:09 ?        00:00:00 /usr/libexec/gsd-printer
colord      1399       1  0 10:09 ?        00:00:00 /usr/libexec/colord
daniels+    1466    1186  0 10:09 ?        00:00:00 /usr/libexec/ibus-engine-simple
daniels+    1472     876  0 10:09 ?        00:00:02 /snap/snap-store/547/usr/bin/snap-store --gapplication-service
daniels+    1486     876  0 10:09 ?        00:00:00 /usr/libexec/xdg-document-portal
daniels+    1581     876  0 10:09 ?        00:00:00 /usr/libexec/xdg-desktop-portal
daniels+    1585     876  0 10:09 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        1597       1  0 10:09 ?        00:00:00 /usr/libexec/fwupd/fwupd
daniels+    1929     876  0 10:10 ?        00:00:00 /usr/libexec/gvfsd-metadata
daniels+    1934    1148  0 10:10 ?        00:00:00 update-notifier
daniels+    2000     876  0 10:11 ?        00:00:01 /usr/libexec/gnome-terminal-server
daniels+    2008    2000  0 10:11 pts/0    00:00:00 bash
daniels+    3298    2008  0 10:16 pts/0    00:00:00 ps -ef
